call_duration,data_usage,num_calls,sms_count,customer_id
39,0.14,13,1,1
52,2.51,9,24,2
29,4.93,21,15,3
15,1.46,9,45,4
43,2.04,8,15,5
8,3.47,17,10,6
21,4.09,16,48,7
39,2.15,16,34,8
58,1.62,27,22,9
19,4.7,28,4,10
23,3.42,19,34,11
11,0.68,24,28,12
11,0.44,16,46,13
24,2.47,25,4,14
53,1.18,14,2,15
36,1.34,20,5,16
40,4.4,14,22,17
24,0.54,14,45,18
3,3.61,14,1,19
22,1.43,12,17,20
53,3.83,6,29,21
2,3.64,20,37,22
24,0.14,13,4,23
44,2.59,16,45,24
30,0.78,9,48,25
38,4.34,2,10,26
2,4.37,22,0,27
21,2.15,27,9,28
33,2.28,29,40,29
12,1.59,3,43,30
58,3.61,10,25,31
22,1.86,20,32,32
44,1.41,2,26,33
25,2.22,27,49,34
49,0.55,24,11,35
27,3.76,10,1,36
59,0.16,8,0,37
42,3.26,17,0,38
28,1,26,32,39
16,1.24,22,21,40
15,3.21,1,11,41
47,4.97,6,38,42
51,3.91,7,35,43
44,1.21,15,20,44
55,0.96,18,19,45
52,4.34,9,35,46
57,2.28,8,25,47
3,0.77,25,46,48
37,4.32,10,30,49
51,4.1,29,0,50
7,4.92,4,37,51
21,4.56,20,13,52
9,4.27,28,25,53
39,0.36,8,45,54
18,0.61,1,41,55
4,2.89,8,6,56
25,2.7,23,11,57
14,2.34,12,23,58
50,2.04,23,18,59
58,2.21,25,8,60
9,2.89,15,34,61
26,0.11,13,3,62
53,1.38,16,44,63
2,2.64,26,41,64
20,3.64,23,31,65
28,0.95,18,45,66
47,2.78,1,5,67
7,3.6,17,27,68
44,2.28,16,27,69
8,0.23,23,39,70
47,2.3,5,28,71
35,1.55,20,41,72
14,4.66,21,4,73
17,0.71,10,4,74
36,3.3,26,36,75
50,0.36,6,40,76
40,2.29,12,27,77
4,2.81,10,40,78
2,1.56,22,46,79
6,2.33,17,8,80
54,0.9,2,28,81
42,1.59,19,13,82
4,3.14,20,37,83
54,1.58,6,39,84
29,4.51,28,33,85
18,3.18,28,36,86
26,2.25,27,48,87
44,0.29,13,41,88
34,2.55,9,13,89
10,3.85,12,17,90
36,1.4,18,32,91
14,4.05,8,33,92
31,1.33,25,27,93
48,4.14,18,35,94
15,0.52,25,44,95
8,4.34,23,47,96
14,2.55,25,36,97
23,1.55,22,22,98
57,1.4,2,41,99
40,2.22,8,16,100
21,5,10,10,101
16,1.18,9,31,102
45,0.61,28,36,103
18,2.97,24,14,104
47,2.49,18,3,105
53,2.67,8,38,106
24,3.37,19,29,107
26,1.41,3,9,108
25,4.56,9,22,109
45,2.23,13,23,110
41,0.73,9,35,111
29,3.74,25,4,112
15,3.25,20,36,113
45,1.65,12,42,114
1,3.15,23,18,115
25,1.18,13,36,116
7,2.28,8,7,117
9,4.51,15,6,118
24,0.75,29,39,119
1,1.99,13,12,120
44,4.12,21,36,121
8,4.85,13,26,122
24,2.32,17,17,123
11,2.58,15,23,124
51,2.9,25,40,125
17,4.67,22,1,126
8,4.31,19,15,127
35,0.94,3,13,128
35,2.24,14,16,129
33,2.37,10,5,130
59,3.97,17,34,131
5,3.05,29,16,132
42,3.31,8,44,133
39,4.99,18,37,134
58,0.47,12,39,135
41,1.19,17,5,136
28,2.1,23,47,137
7,1.8,11,37,138
9,0.21,9,48,139
8,0.55,22,20,140
12,3.44,24,34,141
34,4.41,24,22,142
33,2.62,25,11,143
48,2.74,23,28,144
55,1.35,25,26,145
23,3.86,15,5,146
24,3.78,9,20,147
37,2.98,12,6,148
35,1.14,11,42,149
44,0.58,17,40,150
40,0.41,6,15,151
22,3,28,4,152
27,4.14,8,14,153
35,4.31,10,20,154
1,2.37,25,3,155
35,3.94,15,4,156
37,4.74,4,6,157
47,1.45,29,34,158
14,2.05,18,35,159
3,4.66,11,14,160
1,1.76,9,27,161
5,4.58,9,1,162
26,4.91,28,4,163
55,3.34,8,6,164
14,4.1,3,21,165
39,3.77,21,48,166
27,3.53,18,30,167
9,1.6,14,31,168
15,0.38,3,7,169
15,1.78,17,40,170
26,3.37,4,41,171
42,0.6,21,10,172
13,0.16,28,0,173
51,0.78,18,46,174
32,3.61,15,39,175
39,4.87,19,18,176
49,4.92,28,43,177
52,2.52,22,37,178
32,4.36,6,41,179
4,3.71,15,36,180
30,2.56,7,6,181
37,2.91,12,38,182
23,0.77,16,24,183
39,4.69,9,21,184
45,1.82,20,26,185
15,2.29,5,40,186
43,3.39,11,46,187
29,1.74,2,37,188
36,1.35,22,47,189
13,3.19,16,38,190
32,0.22,4,14,191
7,3.63,5,1,192
59,2.62,7,7,193
51,3.07,6,43,194
22,3.2,24,42,195
28,2.68,22,5,196
2,2.95,10,19,197
42,3.45,14,26,198
45,3.79,8,44,199
57,3.66,29,22,200
53,4.36,14,47,201
6,1.03,14,39,202
28,2.07,20,16,203
28,4.74,28,12,204
44,2.04,23,3,205
44,0.71,3,19,206
20,2.67,1,41,207
30,0.64,29,24,208
11,1.09,9,21,209
58,4.99,9,47,210
55,2.75,22,16,211
28,1.49,2,39,212
25,4.97,16,10,213
39,4.84,8,24,214
33,2.26,26,4,215
1,1.38,6,20,216
57,4.21,23,25,217
27,3.61,13,15,218
57,3.47,1,39,219
52,4.48,19,20,220
13,3.48,15,47,221
41,1.49,1,31,222
3,3.5,10,3,223
39,1.6,1,37,224
6,3.82,28,7,225
8,3.14,12,8,226
